,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
134,甘肃银行股份有限公司关于兰州大学第二医院“互联网+医疗健康”设备采购项目结果公示,甘肃,http://www.gc-zb.com/read-195911084.html,招标,,,,,
135,常州市财政银行数据交换共享平台改造与对接公共支付平台项目公示公告,江苏,http://www.gc-zb.com/read-195910639.html,招标,,,,,
136,苏州大学贷款合作银行中标公告,江苏,http://www.gc-zb.com/read-195910570.html,中标,,,,,
137,中国邮政储蓄银行股份有限公司河北省分行河北省电影院映前广告采购项目（二次）,河北,http://www.gc-zb.com/read-195910447.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
138,中国邮政储蓄银行股份有限公司河南省分行行庆十二周年营销用品采购项目-结果公告,上海,http://www.gc-zb.com/read-195910256.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
139,中国邮政储蓄银行股份有限公司河南省分行网络金融部2019年收单业务营销活动项目三标段、六标段、七标段、八标段二次-结果公告,河南,http://www.gc-zb.com/read-195910067.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
140,中国光大银行关联交易监控平台系统2019至2021年应用升级项目中标候选人公示,北京,http://www.gc-zb.com/read-195908938.html,中标,,,,,
141,江苏句容农村商业银行股份有限公司银医项目采购中标候选人公示,江苏,http://www.gc-zb.com/read-195908287.html,中标,,,,,
142,中国人民银行沈阳分行二代征信上线所需服务器采购项目成交结果公示,辽宁,http://www.gc-zb.com/read-195907769.html,招标,,,,,
143,恒丰银行股份有限公司济宁分行午餐配送服务项目竞争性磋商公告,山东,http://www.gc-zb.com/read-195906501.html,招标,,,,,
144,中国农业银行股份有限公司网点设备少数民族语言服务项目（以此份为准）,北京,http://www.gc-zb.com/read-195906346.html,招标,中国农业银行股份有限公司,总行,,,
145,天津银行股份有限公司2019-2020年度零售品牌营销策划活动项目竞争性磋商公告,天津,http://www.gc-zb.com/read-195905835.html,招标,,,,,
146,湖北省第三人民医院新综合门诊楼信息化建设合作银行采购项目招标公告,湖北,http://www.gc-zb.com/read-195905411.html,招标,,,,,
147,【人保再保险2019年-2020年信用证开证银行库入围项目】中标候选人公示,北京,http://www.gc-zb.com/read-195903727.html,中标,,,,,
148,世界银行贷款浙江千岛湖及新安江流域水资源与生态环境保护项目—建德市水利设施改造项目大同镇大同溪、清潭溪（溪口村段）综合治理工程,浙江,http://www.gc-zb.com/read-195900623.html,招标,,,,,
149,宁波市住房公积金管理中心镇海分中心账户开立定点银行入围招标项目交易公告,浙江,http://www.gc-zb.com/read-195899512.html,招标,,,,,
150,重庆银行上丁数据中心互联网大数据API防火墙采购中标结果公示表,重庆,http://www.gc-zb.com/read-195898202.html,中标,,,,,
151,徽商银行关于总部基地数据中心小型机设备采购项目招标公告,安徽,http://www.gc-zb.com/read-195896840.html,招标,,,,,
152,徽商银行USBKey、OTP电子令牌协议供货制供应商入库项目（二次）招标公告,安徽,http://www.gc-zb.com/read-195896803.html,招标,,,,,
153,湖北安陆农村商业银行股份有限公司“银医通”延伸项目招标公告[变更],湖北,http://www.gc-zb.com/read-195893415.html,招标,,,,,
154,重庆银行新建项目网络配套采购中标结果公示表,重庆,http://www.gc-zb.com/read-195892906.html,中标,,,,,
155,常熟农商银行Adobe产品授权采购项目招标公告,江苏,http://www.gc-zb.com/read-195892009.html,招标,,,,,
156,中国人民银行沈阳分行DMZ区存储双活项目中标结果公示,辽宁,http://www.gc-zb.com/read-195891105.html,中标,,,,,
157,中国邮政储蓄银行股份有限公司陕西省分行信息系统安全防护设备购置及防护技术支持项目单一来源采购公示,陕西,http://www.gc-zb.com/read-195890432.html,招标,中国邮政储蓄银行股份有限公司,分行,,,
